,Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude,cluster
9708,Starbucks,22145-218090,Kluang Mall,Licensed,"Jln Rambutan, G-10, Ground Floor","Bandar Kluang, Kluang",1,MY,86000,,GMT+08:00 Asia/Kuala_Lumpur,103.32,2.04,3
9709,Starbucks,22152-218094,Petronas Bayu Senibong,Licensed,"Taman Bayu Senibong, Mukim Plentong, PTD 148135",Bayu Senibong,1,MY,81750,,GMT+08:00 Asia/Kuala_Lumpur,103.8,1.49,3
9710,Starbucks,18927-184364,Seri Alam,Licensed,"8 Jalan Suria, Bandar Seri Alam",Johor Bahru,1,MY,81750,,GMT+08:00 Asia/Kuala_Lumpur,103.87,1.5,3
9711,Starbucks,1923-137105,The Zone,Licensed,"88 Jalan Ibrahim Sutan, Stulang Laut, Level 1",Johor Bahru,1,MY,80300,07-2241702,GMT+08:00 Asia/Kuala_Lumpur,103.78,1.47,3
9712,Starbucks,50001-272225,Senai Airport,Licensed,"Lot S11, Aero Mall, Senai International Airport",Johor Bahru,1,MY,81250,,GMT+08:00 Asia/Kuala_Lumpur,103.67,1.64,3
9713,Starbucks,28255-250643,Seri Austin DT,Joint Venture,"Jalan Seri Austin 1, Taman Seri Austin",Johor Bahru,1,MY,81100,,GMT+08:00 Asia/Kuala_Lumpur,103.75,1.58,3
9714,Starbucks,33904-13360,Johor Bahru City Square,Licensed,"No 106 & 108, Jalan Wong Ah Fook, Lot J1-06, Level 1",Johor Bahru,1,MY,80000,07-2760267,GMT+08:00 Asia/Kuala_Lumpur,103.76,1.46,3
9715,Starbucks,25311-240185,Danga Bay,Licensed,"Sales Gallery, Lot PTB 22056, Danga Bay, Jalan Skudai",Johor Bahru,1,MY,80200,,GMT+08:00 Asia/Kuala_Lumpur,103.71,1.49,3
9716,Starbucks,21233-210285,Tesco Tebrau,Licensed,"No.1, Persiaran Desa Tebrau, Lot No.G7 & G8, Ground Floor",Johor Bahru,1,MY,81100,,GMT+08:00 Asia/Kuala_Lumpur,103.8,1.55,3
9717,Starbucks,30897-102820,AEON Tebrau,Licensed,"No.1 Jl Desa Tebrau, Taman Desa Tebrau, Lot G17",Johor Bahru,1,MY,81100,07-3556049,GMT+08:00 Asia/Kuala_Lumpur,103.8,1.55,3
9718,Starbucks,1915-139106,Bukit Indah,Licensed,"No. 8, Jalan Indah 15/2, Bukit Indah, Lot G08, Ground Floor",Johor Bahru,1,MY,81200,07-2370408,GMT+08:00 Asia/Kuala_Lumpur,103.66,1.48,3
9719,Starbucks,15577-163164,JB Sentral,Licensed,"Jalan Jim Quee, Lot No. 1&2, 3rd Floor, JB Sentral",Johor Bahru,1,MY,80300,07-2212453,GMT+08:00 Asia/Kuala_Lumpur,103.76,1.46,3
9720,Starbucks,20876-208707,AEON Kulaijaya,Licensed,"Persiaran Indahpura Utama, Bdr Indahpura, G68, Ground Floor",Johor Bharu,1,MY,81000,,GMT+08:00 Asia/Kuala_Lumpur,103.62,1.64,3
9721,Starbucks,47501-258464,IOI Mall Kulai DT,Licensed,"Lot No. G-OSE 3/5/6, GF, IOI Mall Kulai, Lebuh Putra Utama, Bandar Putra",Kulai Johor,1,MY,81000,,GMT+08:00 Asia/Kuala_Lumpur,103.6,1.68,3
9722,Starbucks,16340-164364,Johor Premium Outlets,Licensed,"Jalan Premium Outlets, Indahputra, Lot 500",Kulaijaya,1,MY,81000,07-5909143,GMT+08:00 Asia/Kuala_Lumpur,103.75,1.46,3
9723,Starbucks,28251-250642,Muar Bakri,Joint Venture,"Lot No. PTB 16019, Ground Floor, Jalan Bakri, Muar Johor",Muar,1,MY,84000,,GMT+08:00 Asia/Kuala_Lumpur,102.6,2.05,3
